job_title,company_name,company_desc,job_desc,job_requirement,salary,location,employment_type,department,label
Farm Manager,Archware Technologies international limited,Farming & Agriculture,"Overall responsibilities for the technical, operational, and bottom-line performance of the farm, including recommending improvements.","Minimum Bachelor’s degree in Agriculture, Animal Science, or equivalent.,Working knowledge in food production, organizational skills, time management skills, supervisory skills, marketing skills, negotiation skills, and larger-scale business awareness.,Ability to use basic computer and accounting programs,Extensive cognate experience in a farming-related field of not less than 4 years.,Additional courses in Business Management or Administration are recommended.,A passion for Agriculture.,Excellent problem-solving, analytical, and critical thinking skills.,The ability to make decisions in stressful environments.,Superb communication and interpersonal skills.,Management experience would be a plus.,Willingness to work overtime as required","150,000 - 250,000",Lagos,Full Time,IT & Telecoms,0
Financial Analyst,ZENITH CONSULT,Management,"Provide insights into financial performance, forecasting and budgeting to our clients.","Bachelor's degree in Finance, Accounting or related field. 2+ years experience in financial analysis or related field. Strong analytical skills and attention to detail. Proficient in Microsoft Excel and financial modeling.","200,000 - 300,000 ",Lagos,Full-time,Finance,1
Chef,Limatic Limited,Food Services & Catering,Planning and managing budgets.,"Culinary experience,Previous experience working as a chef,Passion for delighting people with food,Good interpersonal skills,The ability to work well as part of a team.,Good leadership skills.","Less than 75,000",Abuja,Full Time,Automotive & Aviation,0
Marketer,Damiltec Nig. Enterprises,Marketing & Communications,Identify potential clients in the target market and complete appropriate research on the prospective client's business and equipment needs,"Candidates aged between 25 - 30 years,At least 1 year of experience,Computer Literate,Good communication skills.","Less than 75,000",Lagos,Full Time,IT & Telecoms,0
Sales Representative,NURAMEK LIMITED,Agriculture,"Promote products and services to potential customers, build and maintain relationships with clients, and achieve sales targets.","Minimum of Bachelor's degree in Marketing, Business Administration, or related field, experience in sales, excellent communication and interpersonal skills, ability to work independently.","100,000 - 150,000","Lagos Island, Lagos State",Full-time,Sales,1
Social Media Manager,Crestmark Technology Limited,Marketing & Communications,Create and implement a social media strategy that is in line with business objectives.,"This position is open preferably to a female candidate.,Minimum academic qualification of BSc. degree in any discipline.,Proficient with Microsoft word.,The candidate must have a good knowledge of content management","Less than 75,000",Lagos,Full Time,Law & Compliance,0
HR Manager,PSIS HR BOARD,Human Resources,"Manage and oversee the HR department, develop and implement HR strategies, manage recruitment and hiring process, ensure compliance with labor laws.","Bachelor's degree in Human Resources, Business Administration, or a related field. At least 5 years of experience in HR. Excellent communication skills.","250,000 - 350,000","L’monarch Towers, No. 65, Opebi Road, Ikeja",Full-time,Human Resources,1
Driver,HAMGAD SECURITY SERVICES LIMITED,Driver & Transport Services,Transport clients and/or packages to and from destinations.,"Valid Driver's license,Familiar with roads and alternate routes,Good Maintenance skill,Good communication skill","75,000 - 150,000",Lagos,Full Time,Enforcement & Security,0
Communications Grants & Partnerships Manager, Bunmi Adedayo Foundation,Marketing & Communications,"Corporate communication, strategic advisory, social media, website maintenance, stakeholder engagement, events management, events coordination, and events’ fieldwork.","Minimum academic qualification of a Graduate degree or Bsc in Management, Communications, or a related field, 3- 5 years of experience in a related mid or senior-level management role, Proven record of fundraising experience in a for-profit or nonprofit organization., Strong interpersonal skills in addition to strong oral and written communication skills., Project management skills., Exceptional strategic planning abilities, attention to detail, and delivery., Strong analytical and problem-solving skills; highly organized with concern for detail and a commitment to rigor., Strong time management skills and the ability to manage teams, departments, and projects simultaneously., Ability to work in a diverse cultural environment with multiple stakeholders (including government authorities, beneficiaries, implementing partners, program staff, donors, Flexible work attitude: the ability to work productively in a team environment and the ability to solve problems with minimal guidance","150,000 - 250,000",Lagos,Full Time,Education,0
Medical Sales Representative,Sylken Ltd,Medical & Pharmaceutical,Researching competitors’ medications and their respective market performances and reporting from time to time to the marketing team.,"Minimum academic qualification of a Diploma in a medical field,Excellent verbal and written communication skills,Excellent teamwork and networking skills,Strong organizational and time management skills,Highly motivated and the target is driven with a proven track record in sales.","75,000 - 150,000",Rest of Nigeria (Edo),Full Time,Healthcare,0
Copywriter/Growth Hacker,Mindset Dev,Marketing & Communications,"Write engaging and compelling copy that converts for various marketing materials, including landing pages, advertising, blog posts, emails, and social media","At least 2 years of experience in copywriting and digital marketing (or in similar roles),Has a deep understanding of funnel hacking and email marketing,Excellent written and verbal communication skills in English,Interest in personal development and spirituality (Mind-Body-Spirit),Ability to work independently and within a team environment,Preferred: Proven track record of successfully driving growth through creative and effective marketing campaigns,Preferred: Experience with creating advertising works (such as for Facebook Ads),Preferred: Understanding of video marketing and ability to write captivating video scripts,Preferred: Familiarity with SEO best practices and the ability to write SEO-friendly copy,Preferred: Knowledge of growth hacking strategies and a creative approach to growth","75,000 - 150,000",Remote (Work From Home),Full Time,"Advertising, Media & Communications",0
Real Estate Agent,HOME PLACES CONSULT,Real Estate,"Help clients buy, sell, and rent properties","Real Estate License, excellent communication skills",Commission,Lagos,Contract,Real Estate,1
Graphic Artist,Axora International Ltd,Creative & Design,"Develops Layouts for various media including books, magazines, banners and other print/digital projects.",Minimum of 3 years of working experience.  Vast knowledge of print and digital media print/digital projects. Exceptional artistic and design skills. Print/digital projects. Proficiency in using CorelDraw and Adobe Creative Suite (Photoshop Illustrator InDesign). Good organizational skills and attention to detail communication and interpersonal skills. Time management skills customer service,"Less than 75,001",Lagos,Full Time,Education,0
Social Media Manager/VA,Mindset Dev,Marketing & Communications,Develop and execute a comprehensive social media strategy,"At least 1 year of experience as a Social Media Manager or similar role,Excellent graphic design skills and experience creating visuals for social media,Strong written and verbal communication skills,Ability to work independently and manage multiple projects simultaneously,Knowledge of social media analytics and metrics,Experience with scheduling and publishing tools, such as Hootsuite and Buffer,Preferred: familiar with tools like Notion (we use Notion to manage tasks & data) and Figma","75,000 - 150,000",Remote (Work From Home),Full Time,"Advertising, Media & Communications",0
Human Resource Manager,Dahlia Consult,Human Resources,"Oversee all aspects of human resources practices and processes. Responsible for recruitment, training, compensation, benefits, and employee relations.",Minimum of Bachelor's degree in Human Resources or related field - Proven experience as an HR Manager or similar role - Strong understanding of HR policies and procedures - Excellent communication and interpersonal skills,"200,000 - 350,000",Lagos State,Full-time,Human Resources,1
Procurement Officer,Nuramek Limited,Management & Business Development,"Manage the company's procurement process. Sourcing and purchasing goods and services, negotiating contracts, and managing vendor relationships.",Minimum of Bachelor's degree in Business Administration or related field - Proven experience as a Procurement Officer or similar role - Excellent negotiation and communication skills - Ability to work independently and in a team environment,"150,000 - 250,000","Lagos Island, Lagos State",Full-time,Procurement,1
Civil Engineer ,GILBERTS GROUP,Construction,"Design and oversee construction projects, Conduct feasibility studies and site investigations, Prepare and present reports, Ensure compliance with safety and environmental regulations","Minimum of Bachelor's degree in Civil Engineering or a related field, Proven experience as a Civil Engineer, Knowledge of design and construction software, Excellent communication and interpersonal skills, Strong analytical and problem-solving skills","300,000 - 500,000",Lagos State,Full-time,Engineering,1
Customer Service Officer,U&I Artistry,Customer Service & Support,"Attend to all complaints, inquiries, and requests.","Basic Sales skills,Ability to multi-task and stay organized.,A critical thinker and problem solver,A good team player.,Computer literate.,High attention to detail and creative,A friendly and professional demeanor,Good interpersonal relationship skills.","Less than 75,000",Lagos,Full Time,"Retail, Fashion & FMCG",0
Plumber,Central Realties Limited,Engineering & Technology,"Assemble, install, maintain, and pressure test all pipes, fittings, and fixtures of heating, water, drainage, and sprinkler, according to specifications and plumbing codes.","Minimum academic qualification of an SSCE,Candidate not more than 30 years of age,Proven experience as a plumber for 3years,Solid understanding of water distribution and disposal systems in residential, commercial, and industrial buildings,Ability to handle plumbing tools and equipment (pipe wrenches, pipe cutters, plungers, etc.),Diploma from a trade school or successful completion of an apprenticeship,Good communication and interpersonal skills,Solid understanding of water distribution and disposal systems in residential, commercial, and industrial buildings.","75,000 - 150,000",Lagos,Full Time,Real Estate,0
Social Media Manager,Encknet Network,Marketing & Communications,Develop social media content,"Minimum academic qualification of OND in a similar or relevant field,Candidate must be computer literate.,Ability to work in a team,Prior knowledge and experience with online marketing tools and content writing is an added advantage.,Great interpersonal, communication, time management, and problem-solving skills,Age : max of 28 years","75,000 - 150,000",Lagos,Full Time,"Advertising, Media & Communications",0
Petroleum Engineer,GLOBAL OIL CONSULT,Oil and Gas,"Design and implement drilling and production programs, conduct reservoir analysis, and provide technical support to clients.","Minimum of Bachelor's degree in Petroleum Engineering or related field, experience in petroleum engineering, knowledge of drilling and production technologies, analytical and problem-solving skills.","500,000 - 700,000","Ikeja, Lagos State",Full-time,Engineering,1
Field Marketing Officer,Smart Child Zone,Marketing & Communications,Identify appropriate strategic locations and sell products directly to customers,"Minimum academic qualification of either NCE/OND/HND/B.Sc in any area of study.,Good Negotiation skills,Good communication skills.","75,000 - 150,000",Rest of Nigeria (Nationwide),Full Time,Education,0
Telesales Agent,Capsgain Solutions,Sales,Place outbound calls to customers who have placed orders on our website,"Proven experience as a Telesales Agent, sales, customer support or in a similar sales role,Excellent communication skills, both written and verbal,Strong listening and interpersonal skills,Ability to work under pressure and meet targets,Strong attention to detail and accuracy,Experience using a CRM system is a plus","Less than 75,000",Remote (Work From Home),Full Time,"Advertising, Media & Communications",0
Professional Sculptor,EN1 TECHNOLOGIES,Building & Architecture,"Model three-dimensional substances including stone, marble, concrete, plaster, and wood to create forms.","Knowledgeable,Willing to learn,Willing to contribute ideas,Respectful,Reliable,A problem solver,An active listener,Flexible and have good communication skills,Above all should be a good team player.","75,000 - 150,000",Lagos,Full Time,Automotive & Aviation,0
Medical Sales Representative,Sylken Ltd,Medical & Pharmaceutical,Researching competitors’ medications and their respective market performances and reporting from time to time to the marketing team.,"Minimum academic qualification of a Diploma in a medical field,Excellent verbal and written communication skills,Excellent teamwork and networking skills,Strong organizational and time management skills,Highly motivated and the target is driven with a proven track record in sales.","75,000 - 150,000",Imo,Full Time,Healthcare,0
UX Designer,Cholatrek,IT ,Design user interface for systems,Bachelor's Degree in Computer Science or related field,Negotiable,"FUTA, Akure",Part Time,Information Technology,0
Marketing Manager,ASTRONOMY NIGERIA LIMITED,IT,Oversee marketing activities and develop strategies to promote products and services,"Bachelor's degree in Marketing or related field, 5+ years of marketing experience, preferably in a technology-related field, Excellent knowledge of digital marketing channels such as social media, email, and search engine optimization, Strong analytical and project management skills, Ability to lead and manage a team, Excellent communication and interpersonal abilities","300,000 - 400,000","Oba Akran Avenue, behind AP Filling Station, Lagos State",Full-time,Marketing,1
Front Office Manager,Copen Group,Customer Service & Support,Anticipate and handle any guest requests and satisfy their needs within acceptable guidelines,"Minimum of High School Diploma, an advanced degree in a hospitality-related field preferred,Minimum of 5years of working experience is preferred,Excellent leadership, management, and team-building skills,Good organizational and multitasking abilities,Solid knowledge of MS Office, particularly Excel, and Word,Hands-on experience with office machines (e.g. fax machines and printers),Must have strong verbal and written communication skills,Ability to multitask, prioritize, and manage time,Proficient computer skills, including Microsoft Office Suite (Word, PowerPoint, Outlook, and Excel)","75,000 - 150,000",Enugu,Full Time,Real Estate,0
Sales Representative,Recruitment Hub Ng,Sales,Greets and interacts with customers.,"This position is open preferably to a female candidate,Minimum academic qualification of a B.Sc/HND in Social sciences or equivalent preferred.,Previous retail experience preferred.,On-the-job training provided.,Excellent active listening skills.,Excellent sales and customer service skills.,Extensive knowledge of the merchandise sold.,Ability to anticipate customers' needs.,Ability to recommend merchandise to customers.,Ability to operate or quickly learn the store's point-of-sale system.,Excellent verbal communication skills.","75,000 - 150,000",Lagos,Full Time,Recruitment,0
Accountant,Crystalite Care Ventures,Healthcare and Wellness Organization,Manage our financial records and ensure compliance with accounting regulations.,"Minimum of Bachelor's degree in accounting or a related field, 5+ years of experience in accounting, proficiency in accounting software and Microsoft Excel, knowledge of accounting regulations and standards",Competitive salary based on experience,"Ibadan Road, Ibadan South-West, Oyo State",Full-time,Accounting,1
 Human Resources Consultant,StarLine Consult Nigeria LTD,Management & Business Development,"Responsible for providing strategic and operational HR support to clients, including recruitment, performance management, employee relations, compensation, and benefits.","Bachelor's degree in Human Resources, Business Administration, or related field, At least 5 years of experience in HR consulting or a similar role, Strong knowledge of HR principles, practices, and laws in Nigeria, Excellent communication and interpersonal skills, Ability to work independently and manage multiple clients simultaneously, Strong problem-solving and decision-making skills, Proficiency in Microsoft Office Suite and HR software applications","150,000 - 250,000","Port Harcourt, Rivers State",Full Time,Human Resources,1
Content Creator,GDX Equip,Creative & Design,"Design, build and maintain our social media presence","An undergraduate degree is not mandatory but at least a Credit in Maths and English in Secondary School Leaving Certificate,Hands-on experience in content management and online marketing,Minimum of 2 - 3 years of proven work experience as a social media content creator and digital marketer,Creative and able to deliver captivating media content i.e. images and videos,Able to work on Photoshop and Canva,Great communication skills,Can tell a great story through words and visuals,Highly creative, visual, and able to generate ideas and see projects from concept to completion in a fast-paced environment,Solid knowledge of website analytics tools (e.g., Google Analytics, NetInsight, Omniture, WebTrends),Experience in setting up and optimizing Google Adwords campaigns","150,000 - 250,000",Lagos,Full Time,Manufacturing & Warehousing,0
Graphic Designer,XL MANAGEMENT SERVICES,Creative & Design,Create visual concepts and designs for our clients.,"Minimum of Bachelor's degree in Graphic Design, Fine Arts or related field. 2+ years experience in graphic design or related field. Proficient in design software such as Adobe Photoshop, Illustrator and InDesign. Ability to create visually appealing designs and concepts.","150,000 - 250,000","Comfort house, Alagomeji Ebute meta, Lagos",Full-time,Design,1
Video Motion Graphic Animation Designer,Smart Child Zone,Software & Data,Meeting with production teams to discuss specifications for new characters and animations,"Minimum academic qualification of HND,Minimum of one year of experience in a similar role,The candidate should be smart and proactive","75,000 - 150,000",Rest of Nigeria (Nationwide),Full Time,IT & Telecoms,0
AC Technician,Central Realties Limited,Engineering & Technology,"Installing, maintaining, and repairing ventilation and air conditioning systems and equipment.","Minimum academic qualification of an SSCE,Candidate not more than 30 years of age,He should have a technical training certificate.,Having worked in a facilities management company or hotel facilities is an added advantage.,He must have a minimum of 3 years of experience,He must not be more than 3 years of age.,He must be able to fix or repair an AC with little or no supervision","75,000 - 150,000",Lagos,Full Time,Real Estate,0
Marketing Executive,WASTECARE,Marketing & Communications,Attracting new clients by innovating and overseeing the sales process for the business.,"Minimum academic qualification of a Bachelor's degree in any discipline,4 years of working experience,Good communication skills","600,000 - 900,000",Lagos,Full Time,Manufacturing & Warehousing,0
Sales Manager,Leadway Assurance,Sales,Acquisition of new clients,"Minimum academic qualification of a Bachelor’s degree/HND in any discipline.,Must have at least 2 years of sales experience,Must have good client service skills,A good network of clients/customers,Ability to manage a team and provide leadership,Experience in insurance background is an added advantage.","Less than 75,000",Lagos,Full Time,"Banking, Finance & Insurance",0
Human Resources Manager,NSMI Global Concept,Human Resources,"Managing HR operations, developing HR policies and procedures, and overseeing recruitment and employee development.","Minimum of Bachelor's degree in Human Resources, Business Administration or related field, Proven experience as a Human Resources Manager or HR Generalist, Strong knowledge of HR practices and employment laws, Excellent communication and interpersonal skills, Strong organizational and time management skills",Negotiable,"No. 1-6, Alhaji Lateef Sulaimon Street, Opposite Owode-Onirin Market, Kosofe, Lagos State",Full-time,Human Resources,1
Customer Service Representative,BOSS RESOURCES,Human Resources,"Answering customer inquiries, resolving customer complaints, processing orders and requests, maintaining customer records, providing information to customers","Bachelor's degree in any field, excellent communication and problem-solving skills, ability to work under pressure","80,000 - 120,000","No. 90, Awolowo Way, Opposite MAN House, Ikeja, Lagos State",Full-time,Customer Service,1
Programme Officer I,White Ribbon Alliance Nigeria,Product & Project Management,"Lead the development, implementation, and monitoring of project work plans and budgets","Support the production of write-ups for publications on assessments, research and evidence gained through project implementation on Nutrition.,Oversee project coordination and partner collaboration to ensure timely communication, information sharing, and project implementation,Participate in communicating the project’s vision, activities, and research results; develop/review external-facing presentations, website content, blogs, briefs, and reports","150,000 - 250,000",Abuja,Full Time,"NGO, NPO & Charity",0
Front Desk Officer,SCHLEEZ NIGERIA LIMITED,Management & Business Development,"Receiving and directing visitors, managing incoming and outgoing calls, handling mail and other correspondence, scheduling appointments and meetings, providing information to visitors","Minimum of Bachelor's degree in any field, strong communication and interpersonal skills, proficiency in Microsoft Office","70,000 - 100,000","First Floor, Left Wing, No. 49, Olowu Street, Off Moboloji Bank, Anthony Way, Ikeja, Lagos State",Full-time,Administration,1
Account Supervisor/Account Executive,Bons Industries Limited,"Accounting, Auditing & Finance",To keep precise records of incoming and outgoing payments for the organization.,"Minimum academic qualification of BSC/HND in Accounting and other related,Postgraduate degrees & Professional certificates will be an added","75,000 - 150,000",Enugu,Full Time,Manufacturing & Warehousing,0
Graphic Designer,BEYOND STARDOM NIGERIA LIMITED,Creative,Create visual content for marketing,Minimum of Bachelor's Degree in Graphic Design or related field,"100,000","Ille-Ile Bus-Stop, Opposite Skye Bank PLC, 505 Ikorodu Road, Lagos state",Contract,Creative,1
Field Sales Agent,Super Star Promotions Ltd,Sales,"Present, promote, and sell products/services using solid arguments to existing and prospective customers","Good Negotiation skills,Good communication skills,Excellent inter-personal skills","75,000 - 150,000",Lagos,Full Time,"Advertising, Media & Communications",0
Interior Design Project Supervisor,SIGNATURE DESIGN GROUP,Creative & Design,Coordinating with other construction or project managers to ensure that work is progressing on schedule.,"Good team player with leadership abilities.,Excellent organization and time management skills.,Outstanding communication and negotiation skills.,Good knowledge of MS Office.,Understanding interior design will be an added bonus.","Less than 75,000",Lagos,Full Time,Construction,0
Office Assistant,yinbid agency service ltd,Admin & Office,"Overseeing clerical tasks, such as sorting and sending mail.","Minimum academic qualification of SSCE,Good communication skills,Ability to handle organizational and administrative tasks.","Less than 75,000",Lagos,Full Time,Recruitment,0
Internal Control Assistant,Realty Point Limited,"Accounting, Auditing & Finance","Periodically review and appraise the soundness, effectiveness, and proper application of accounting and financial controls.","Minimum academic qualification of OND in Accounting or Banking and Finance,1 - 2 years of experience in the real estate industry or an audit firm is an added advantage.,Ability to work under pressure in a fast-paced environment,Analytical mind and strong attention to detail,Strong communication skills,Interpersonal and people management skills,Strong numeracy skills,Excellent written and oral communication skills,Proficient in the use of Microsoft Office,Persistent and results-oriented,Firmness,Self-motivated and self-driven.","Less than 75,000",Lagos,Full Time,Real Estate,0
Ticketing and Reservation Officer,AceSkyline Services Limited,Hospitality & Leisure,"Scheduling flights based on customer needs and available flights, including checking weather conditions and making changes as needed""","Manage Sales with due regard to the set targets including checking weather conditions and making changes as needed"", Ability to handle a high volume of customer interaction while delivering exceptional service""","150,000 - 250,000",Lagos,Full Time,Automotive & Aviation,0
CNC Router Machine Operator,GDX Equip,Engineering & Technology,"Support the marketing initiatives of the Company by utilizing the CNC Router to showcase different features and capabilities of the machine across several material types including wood, MDF, HDF, Plastic, aluminum, etc","The minimum academic qualification of SSCE.,Bachelor’s degree while not mandatory will be an added advantage,Minimum of 3 years experience as a CNC Router Machine Operator handling different material types including wood, and composites,Have a good knowledge of CAD/CAM programming software like Vectric, Fusion360, ARTCAM, etc,Ability to use SYNTEC, NK103, RichAuto, and other industrial CNC Router control systems,Ability to translate mechanical documents and engineering drawings,Strong math skills for inputting specific dimensions and figures into the CNC machinery,Strong computer skills,Problem-solving skills in order to detect issues in the creation process and find solutions to ensure the machinery creates the product provided in the draft/design,Excellent technical and analytical skills,Highly developed attention to detail skill","75,000 - 150,000",Lagos,Full Time,Manufacturing & Warehousing,0
Country Director (MEDA Senegal),MENNONITE ECONOMIC DEVELOPMENT ASSOCIATES (MEDA),Management & Business Development,"Executing MEDA’s country strategy and ensuring alignment with regional and/or corporate strategies, Raise MEDA’s profile in the country and contribute to the positioning of MEDA as a leader in building transformative agri-food market systems that create decent work among development stakeholders, including public, private, civil society, and INGO actors., Identify and foster partnerships with agri-food market actors to co-create long-term impact-focused initiatives that align with MEDA’s overall strategy and with the development aims of the country, Prepare regular intelligence briefings to inform MEDA’s country strategy and partnership and business development activities in country, Support proposal development processes, play a leadership role in programmatic design","A bilingual individual (French and English) is preferred., Fluency (written and verbal) in English is required, Proficiency in regional languages is an asset , Strong technical skills with a background in agronomy/agriculture or agro-economy and project management are required., A good understanding of market systems as well as competence in finance/accounting is also required., Minimum academic qualification of a University degree (ideally a Masters) in International Development, Business Administration, or a related field. , Proven track record of at least ten years of senior-level leadership and management of complex, large-scale, multi-million dollar economic and enterprise development initiatives (or similar private sector experience)., Experience in strategic planning, proposal development, convening multiple stakeholders for collaborative achievement, and guiding multiple working groups toward a unified goal. , Project and professional management experience, staff management experience, overseas and/or international experience relevant to the region, experience with donors, bi- and multilateral government agencies, relevant government agencies, non-governmental organizations, and other development agencies. , Experience/expertise in at least one of MEDA’s areas of technical focus, including market systems, investment, vulnerable populations, financial services, blended finance, SME financial services, and environment/climate change., Appreciation and support of MEDA’s mission, vision, and values , Understanding and appreciation of business principles, international development, and MEDA’s approach to creating business solutions to poverty , Excellent skills in relationship management, including building relationships, networking and presentation, negotiation, and interpersonal communication , Proven team leadership abilities with a multiple field office environment and relationships with, North American-based HQ specialists and management , Functional experience in marketing, business planning, business growth advisory service, or related areas, Direct private sector experience is desirable,Demonstrated ability to mobilize stakeholders into partnerships and alliances, lead and facilitate collaborative processes, Demonstrated donor relations reporting, relationship management, and ability to monitor grants, Excellent report writing and review skills",Confidential,Senegal,Full Time,Management & Business Development,0
Business Development Officer,Copen Group,Management & Business Development,Developing and sustaining solid relationships with company stakeholders and customers.,"Minimum academic qualification of HND/ Bachelor's degree in business management or administration, finance, accounting, marketing, or related field.,Proven experience working as a business development officer or similar role.,Proficiency in all Microsoft Office applications.,The ability to travel as needed.,The ability to work in a fast-paced environment.,Excellent analytical, problem-solving, and management skills.,Exceptional negotiation and decision-making skills.,Effective communication skills.,Strong business acumen.,Detail-oriented.","75,000 - 150,000",Enugu,Full Time,Real Estate,0
Marketer,Baccalaureate Consult,Product & Project Management,"Performing in-house, competitor, and consumer analyses to shape new undertakings.","Minimum academic qualification of O.N.D.Degree in marketing or any other relevant discipline.,Recent, demonstrable experience in a marketing-intensive post.,Capacity to interpret marketing-related metrics.,Ability to configure organic and paid formulas.,Unrivaled networking techniques.,Superb research, presentation, and bargaining skills.,Refined and modifiable written communication abilities.,Insightful, pragmatic, and imaginative.","Less than 75,000",Lagos,Full Time,Tourism & Travel,0
Project Officer,Copen Group,Product & Project Management,"Develop and manage the budget for each project working with the program manager, meeting manager, and meeting planner.","Minimum academic qualification of HND in any discipline,At least 2 years of working experience","150,000 - 250,000",Enugu,Full Time,Real Estate,0
Procurement Officer,DONQUESTER CONSULTING,Supply Chain & Procurement,Ability to manage end-to-end supply chain processes for Medical Equipment Supply industry.,"This position is open preferably to a female candidate.,Minimum academic qualification of HND/B.Sc. Degree in Purchasing Management, Business Admin or related discipline.,Minimum of  3 years  working  experience in the Medical Equipment Supply industry,Good communication skills","75,000 - 150,000",Lagos,Full Time,Shipping & Logistics,0
Business Development Officer,Philban Consulting,Consulting & Strategy,"Identifying and generating new business opportunities, building relationships with potential clients, and developing marketing strategies to increase company revenue.","Minimum of Bachelor's degree in Business Administration or related field, Proven experience in business development or sales, Strong communication and interpersonal skills, Ability to think strategically and creatively, Excellent organizational and time management skills",Negotiable,"No. 64 Toyin Street, Opebi-Toyin, Ikeja, Lagos State",Full-time,Business Development,1
Production Supervisor.,Bons Industries Limited,Management & Business Development,Overseeing the manufacturing processes and procedures in production operations,"Minimum academic qualification of  BSC/HND in Polymer Engineering and other related disciplines,Minimum of 3 years of working  experience in a Plastic/Polythene (PE) firm,Proficiency in AutoCAD and Microsoft Office is required.,Working knowledge of basic machining processes and practices,Ability to work independently or as part of a team on projects from inception to completion,Applicant must possess sound industrial knowledge of PE film blowing machine, Injection machine, & Blow,Higher qualifications or Professional certificates will be an added advantage.","75,000 - 150,000",Enugu,Full Time,Manufacturing & Warehousing,0
Accounting Officer,Color Sense Limited,"Accounting, Auditing & Finance",Manages the regular bookkeeping responsibility of the company,"Minimum academic qualification of B.Sc. or HND Accounting/Accountancy graduate with a minimum of Second Class Upper or its Equivalent in HND. Full attendance at school. No online studies.,Must possess ICAN's Accounting Technician Certificate.,Must have done NYSC. Minimum of 2 years post-NYSC experience in an Accounting Role.,Highly cerebral and highly Computer Literate with proficiency in Excel and Word documents.,Role Not Gender-specific.,Candidate must have had a minimum of 6 Credits at WAEC/WASC level.","75,000 - 150,000",Lagos,Full Time,Hospitality & Hotel,0
Creative Designer,Realty Point Limited,Creative & Design,Study design briefs and determine requirements,"At least 2 years of experience in an advertising/marketing agency or a corporate communications/marketing role,Proven creative designing experience,A strong portfolio,Proficiency in using design software and technologies (such as Illustrator, Photoshop, InDesign, etc.),A keen eye for aesthetics and details,Excellent communication skills,Ability to work under pressure in a fast-paced environment,Ability to work methodically and meet deadlines,Knowledge of digital communications and/or digital media,Knowledge and understanding of the digital media role within integrated communications,Knowledge of marketing concepts, principles, and integrated marketing communication theory and practice,Must be comfortable working both independently and as a team,Should possess strong design sensibilities and technical skills.","75,000 - 150,000",Lagos,Full Time,Real Estate,0
Functional Consultant,CODEWARE,"Accounting, Auditing & Finance",Participating in analysis & design sessions to capture cross-functional,"Minimum academic qualification of HND,At least 1 year of working experience.,Strong Accounting Background.,Strong Communication Skills.,Problem-solving skills.","Less than 75,000",Lagos,Full Time,"Banking, Finance & Insurance",0
Management Trainee,Braincraft Limited,Consulting & Strategy,Sourcing for information for the creation of training materials,The candidate's age must not be above 23 years.,"75,000 - 150,000",Lagos,Full Time,Education,0
Front Desk Officer,Soar Group,Admin & Office,Performing various administrative and clerical tasks. ,"Bachelor's degree in Business Administration, Secretarial Studies or related field","60,000 - 100,000","Suite 2, Oluyole, Bus-Stop, Oregun, Ikeja, Lagos",Full Time,Administration,1
Administrative Assistant,Cybertech Digitals,Admin & Office,"Respond to incoming contacts, including emails and social media messages, promptly and professionally.","Proven experience as an Administrative Assistant or similar role,Excellent written and verbal communication skills, with a focus on email and social media,Strong computer skills, including proficiency in Microsoft Office (Word, Excel, PowerPoint),Excellent organizational skills and attention to detail,Ability to multitask and prioritize effectively in a fast-paced environment,Strong interpersonal skills and customer service orientation,Ability to maintain confidentiality and handle sensitive information,High school diploma or equivalent; additional qualifications in office administration or a related field are a plus","75,000 - 150,000",Lagos,Full Time,Tourism & Travel,0
Accountant,NEW STAR METAL INTERNATIONAL LIMITED,Metal recycling,"Manage the financial transactions of the company, prepare financial reports, and maintain accurate financial records.","Bachelor's degree in Accounting or Finance, experience in accounting, proficiency in accounting software, attention to detail.","150,000 - 200,000","Kosofe, Lagos State",Full-time,Accounting,1
Business Development Officer,ESTHER BREAKTHROUGH,"Marketing, Sales and Management","Identifying new business opportunities, developing and maintaining client relationships, creating and implementing sales strategies, conducting market research and analysis","Minimum of Bachelor's degree in Business Administration or related field, excellent communication and negotiation skills, ability to work independently","100,000 - 150,000",Lagos State,Full-time,Business Development,1
Sales Representative,Consulting Capable,Consulting,"Generating new business, building relationships with clients, and achieving sales targets.","Proven experience as a Sales Representativ, Excellent communication skills , Ability to work independently and as part of a team , Bachelor's degree in Business Administration or a related field is preferred","150,000 - 200,000",Lagos State,Full-time,Sales,1
Graphic Designer,Wow Effect Communications,Marketing & Communications,Liaising with clients to determine their requirements and timescale.,"Minimum academic qualification of HND/BSc Degree in any related discipline.,Proven graphic designing experience.,A strong portfolio of illustrations and other graphics.,Familiarity with design software and technologies (such as InDesign,  Dreamweaver, Adobe Packages, and Corel draw),A keen eye for aesthetics and details,Excellent communication skills,Ability to work methodically and meet deadlines","150,000 - 250,000",Lagos,Full Time,"Advertising, Media & Communications",0
Design Architect,The Finish Limited,Building & Architecture,Making bids on potential building projects,"Minimum academic qualification of a Bachelor's degree in a relevant field,Minimum of 2 years of work experience","75,000 - 150,000",Lagos,Full Time,Construction,0
Mathematics Teacher,Vivian Fowler Memorial College For Girls,"Research, Teaching & Training","Study the syllabus for the subject, draw up the scheme of work, and submit it to the departmental head at the beginning of each term.","Minimum of a bachelor's degree,3 - 5 years of work experience.","75,000 - 150,000",Lagos,Full Time,Education,0
